Lat,Lon,Value
22.7641201633118,103.330313625049,-103.5
22.7641303453143,103.331287310992,-124.5
22.7641354340905,103.331774154172,-124.5
22.7641405213834,103.332260997491,-115
22.7642115877285,103.339076818546,-118
22.7643277083946,103.350274297729,-117.5
22.7635614033636,103.320095481048,-98.5
22.7635665261441,103.320582319418,-99
22.7635716474413,103.321069157929,-97.5
22.7635767672552,103.321555996579,-104
22.7635818855858,103.32204283537,-96.5
22.7636482889022,103.328371752363,-100.5
22.7636890278825,103.332266482227,-124.5
22.7630123001405,103.310851133631,-119.5
22.76301745099,103.311337967734,-119.5
22.7630945357424,103.318640496152,-115.5
22.7630996628599,103.319127332503,-94.5
22.7631099126451,103.320101005625,-114.5
22.7631150353128,103.320587842396,-119
22.7631201564973,103.321074679308,-116
22.7631252761985,103.321561516359,-97.5
